City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Vaini,100,IN,1571615951,93,15.34,74.49,73.15,2.28
Saint-Philippe,75,CA,1571615951,81,45.36,-73.48,48.99,2.24
Boca do Acre,98,BR,1571615951,84,-8.76,-67.39,75.81,0.96
Bredasdorp,100,ZA,1571615952,71,-34.53,20.04,57.2,11.41
Ribeira Grande,72,PT,1571615952,62,38.52,-28.7,65.41,9.19
Mataura,41,NZ,1571615952,61,-46.19,168.86,52.0,15.01
Okhotsk,97,RU,1571615952,63,59.36,143.24,29.91,7.99
Zapadnaya Dvina,100,RU,1571615952,97,56.26,32.09,52.04,8.68
Ilhabela,89,BR,1571615952,59,-23.78,-45.36,69.89,5.44
Aiquile,72,BO,1571615952,57,-18.2,-65.18,67.16,5.41
Saldanha,67,PT,1571615953,87,41.42,-6.55,46.85,2.71
Port Macquarie,0,AU,1571615953,48,-31.43,152.91,84.0,4.7
San Ramon de la Nueva Oran,92,AR,1571615953,65,-23.13,-64.33,68.58,2.91
Linfen,0,CN,1571615953,34,36.09,111.52,58.08,4.05
Kijang,0,KR,1571615953,87,35.24,129.21,57.2,4.7
Masindi,83,UG,1571615953,96,1.69,31.72,63.81,1.57
Puerto Ayora,0,EC,1571615954,64,-0.74,-90.35,75.2,21.92
Bermeo,75,ES,1571615954,100,43.42,-2.72,54.0,3.36
Storsteinnes,79,NO,1571615954,74,69.24,19.23,35.6,27.51
Cherskiy,0,RU,1571615954,89,68.75,161.3,5.54,1.41
Nanakuli,90,US,1571615954,74,21.39,-158.15,86.0,9.17
Avarua,4,CK,1571615954,83,-21.21,-159.78,78.8,16.11
Port Elizabeth,90,US,1571615955,93,39.31,-74.98,60.01,17.22
Victoria,75,BN,1571615955,83,5.28,115.24,82.4,2.24
Tilichiki,0,RU,1571615955,55,60.47,166.1,22.23,8.63
Mar del Plata,97,AR,1571615955,30,-46.43,-67.52,62.37,20.36
Hilo,40,US,1571615955,58,19.71,-155.08,86.0,12.75
Bo Phloi,100,TH,1571615955,86,14.32,99.52,74.16,4.21
Hermanus,84,ZA,1571615956,81,-34.42,19.24,55.99,3.0
Caledonia,90,US,1571615956,93,42.81,-87.92,55.0,5.82
Abha,0,SA,1571615956,29,18.22,42.5,62.6,4.7
Iqaluit,75,CA,1571615956,80,63.75,-68.52,30.2,12.75
Hithadhoo,67,MV,1571615956,74,-0.6,73.08,80.78,10.98
Cracow,1,US,1571615956,93,43.74,-82.82,55.99,6.08
Severo-Kurilsk,0,RU,1571615956,69,50.68,156.12,41.85,12.93
Souillac,0,FR,1571615957,100,45.6,-0.6,50.0,2.21
Fortuna,90,US,1571615957,63,40.6,-124.16,62.6,8.05
Saint Anthony,90,US,1571615957,52,43.97,-111.68,42.8,19.46
Lasa,20,CY,1571615957,68,34.92,32.53,68.0,4.7
Jablanica,7,BA,1571615957,93,43.66,17.76,53.6,1.12
Starodub,10,RU,1571615957,77,52.58,32.76,49.8,7.81
Avera,1,US,1571615958,93,33.19,-82.53,70.0,3.98
Podporozhye,100,RU,1571615958,98,60.91,34.16,43.68,7.07
Faanui,98,PF,1571615958,76,-16.48,-151.75,81.03,11.05
Salalah,0,OM,1571615958,30,17.01,54.1,82.4,10.29
Provideniya,0,RU,1571615958,64,64.42,-173.23,33.8,8.95
Kapaa,75,US,1571615958,78,22.08,-159.32,84.99,9.17
Vardo,90,US,1571615969,100,39.62,-77.74,54.0,10.29
East London,84,ZA,1571615969,84,-33.02,27.91,59.97,7.49
Arraial do Cabo,75,BR,1571615969,68,-22.97,-42.02,71.6,10.29
Weligama,100,LK,1571615969,84,5.97,80.42,79.47,12.01
Sikasso,57,ML,1571615969,73,11.32,-5.68,75.08,2.42
Tasiilaq,11,GL,1571615969,74,65.61,-37.64,33.8,11.41
Galich,72,RU,1571615969,94,58.38,42.35,42.78,1.99
Balilihan,75,PH,1571615970,83,9.76,123.97,82.4,2.24
Alamosa,1,US,1571615970,23,37.47,-105.87,42.8,20.8
Cape Town,40,ZA,1571615970,62,-33.93,18.42,59.0,10.29
Vostok,82,RU,1571615970,89,46.45,135.83,44.62,5.01
Kodiak,75,US,1571615970,72,39.95,-94.76,60.01,10.29
Karratha,47,AU,1571615971,19,-20.74,116.85,92.7,11.32
Comodoro Rivadavia,0,AR,1571615971,29,-45.87,-67.48,66.2,14.99
Dovers,40,VC,1571615971,83,12.88,-61.18,80.6,10.18
Moron,87,HT,1571615971,76,18.56,-74.26,80.26,3.18
New Norfolk,40,AU,1571615971,39,-42.78,147.06,68.0,5.82
Latehar,97,IN,1571615972,94,23.74,84.5,69.5,3.91
Sheridan,75,US,1571615972,24,39.65,-105.03,48.0,14.99
Mbuyapey,90,PY,1571615972,90,-26.22,-56.76,60.62,6.38
Stromness,20,CA,1571615972,71,42.87,-79.55,55.4,4.7
Monywa,4,MM,1571615972,84,22.12,95.13,77.16,1.25
Baker City,90,US,1571615972,70,44.77,-117.83,42.8,17.22
Luderitz,0,NA,1571615972,81,-26.65,15.16,58.1,25.79
Pevek,99,RU,1571615973,71,69.7,170.27,27.43,10.65
Naze,68,NG,1571615973,95,5.43,7.07,73.44,1.07
Maragogi,78,BR,1571615973,87,-9.01,-35.22,71.39,4.03
Bandarbeyla,13,SO,1571615973,78,9.49,50.81,75.35,10.25
Phan Thiet,57,VN,1571615973,79,10.93,108.1,76.62,2.62
Tuatapere,39,NZ,1571615973,61,-46.13,167.69,52.0,15.01
Silver City,1,US,1571615974,14,32.77,-108.28,68.0,17.22
Norman Wells,90,CA,1571615974,100,65.28,-126.83,28.4,2.24
Guerrero Negro,0,MX,1571615974,78,27.97,-114.04,67.73,16.6
Prado,91,CO,1571615974,69,3.75,-74.93,77.18,3.44
Saquena,88,PE,1571615974,96,-4.67,-73.52,73.38,1.83
Xuddur,94,SO,1571615974,83,4.12,43.89,73.98,15.08
Ilulissat,46,GL,1571615975,73,69.22,-51.1,19.4,3.36
Black River,75,JM,1571615975,79,18.03,-77.85,84.2,14.99
Clyde River,90,CA,1571615975,92,70.47,-68.59,28.4,9.17
Kuching,75,MY,1571615975,100,1.56,110.34,78.8,3.36
San Borja,52,BO,1571615975,80,-14.86,-66.75,75.04,1.77
Bilibino,0,RU,1571615975,90,68.06,166.44,1.15,2.15
Mayumba,78,GA,1571615976,87,-3.44,10.65,76.86,4.25
Neiafu,40,TO,1571615976,78,-18.65,-173.98,82.4,3.36
Lavrentiya,100,RU,1571615976,95,65.58,-170.99,25.29,4.32
Chuy,100,UY,1571615976,84,-33.69,-53.46,56.81,5.39
Bethel,90,US,1571615976,93,60.79,-161.76,37.4,8.77
Saint-Francois,0,FR,1571615976,93,46.42,3.91,55.4,5.82
Leningradskiy,100,RU,1571615976,94,69.38,178.42,23.96,23.78
Katsuura,75,JP,1571615977,82,33.93,134.5,64.4,5.82
Ballina,90,IE,1571615987,75,54.11,-9.15,48.99,4.7
Barcelos,98,BR,1571615987,92,-0.97,-62.93,75.8,1.34
Lagoa,0,PT,1571615987,82,37.14,-8.45,55.99,8.05
Nivala,100,FI,1571615987,95,63.93,24.96,30.99,1.01
Hovd,75,NO,1571615987,86,63.83,10.7,43.0,11.41
Manokwari,44,ID,1571615988,62,-0.87,134.08,81.77,3.85
Champerico,40,MX,1571615988,49,16.38,-93.6,89.6,3.36
Baikunthpur,100,IN,1571615988,91,23.26,82.56,64.98,2.53
Bathsheba,20,BB,1571615988,74,13.22,-59.52,82.4,5.82
Osypenko,90,UA,1571615988,100,48.04,34.39,48.2,2.24
Staropavlovskaya,0,RU,1571615988,87,43.85,43.63,48.0,2.24
Fairbanks,75,US,1571615988,55,64.84,-147.72,39.2,3.36
Beloha,0,MG,1571615989,62,-25.17,45.06,68.67,3.29
Wuwei,60,CN,1571615989,47,37.93,102.64,45.23,1.72
Bambous Virieux,75,MU,1571615989,94,-20.34,57.76,71.6,6.93
Gazanjyk,0,TM,1571615989,84,39.24,55.52,60.12,8.25
Loandjili,75,CG,1571615989,94,-4.77,11.87,77.0,3.36
Flin Flon,75,CA,1571615989,86,54.77,-101.88,37.4,4.7
Mount Gambier,90,AU,1571615990,76,-37.83,140.78,53.6,4.7
Emerald,1,AU,1571615990,41,-23.53,148.16,79.0,12.75
Wanning,75,AT,1571615990,100,48.64,13.53,55.0,2.24
Saint-Augustin,75,CA,1571615990,75,45.63,-73.98,48.2,2.39
Bima,50,ID,1571615990,53,-8.45,118.73,83.27,2.93
Pacific Grove,1,US,1571615990,42,36.62,-121.92,77.0,9.17
Sucha Beskidzka,0,PL,1571615990,100,49.74,19.59,55.99,3.36
Pangody,100,RU,1571615991,96,65.85,74.49,27.68,12.68
Thompson,90,CA,1571615991,80,55.74,-97.86,41.0,8.05
Thunder Bay,75,CA,1571615991,93,48.41,-89.26,46.4,10.29
Carballo,75,ES,1571615991,100,43.21,-8.69,50.0,3.36
Kokopo,28,PG,1571615991,63,-4.34,152.27,84.6,3.51
Houma,8,CN,1571615991,52,35.63,111.36,53.84,3.65
Chokurdakh,100,RU,1571615992,94,70.62,147.9,4.7,4.21
Saint George,0,GR,1571615992,93,39.45,22.34,59.0,4.7
Petropavlovsk-Kamchatskiy,0,RU,1571615992,51,53.05,158.65,35.6,4.47
Preston,0,GB,1571615992,81,53.76,-2.71,48.99,8.05
Ostrovnoy,54,RU,1571615992,87,68.05,39.51,20.68,7.96
Bulgan,100,MN,1571615992,95,48.81,103.53,28.11,2.06
Hambantota,100,LK,1571615992,79,6.12,81.12,79.07,9.31
Dawson Creek,75,CA,1571615993,86,55.76,-120.23,39.2,4.7
Margate,40,AU,1571615993,39,-43.03,147.26,68.0,5.82
Sayansk,40,RU,1571615993,85,54.11,102.18,24.14,3.42
Altay,100,CN,1571615993,97,47.83,88.13,24.89,2.51
Hasaki,75,JP,1571615993,72,35.73,140.83,66.99,11.41
Nara,75,JP,1571615993,82,34.68,135.8,66.2,4.7
Alofi,71,NU,1571615994,70,-19.06,-169.92,84.2,9.17
Cahors,77,FR,1571615994,99,44.45,1.44,53.01,7.36
Nishihara,75,JP,1571615994,77,35.74,139.53,70.0,6.93
Beringovskiy,60,RU,1571615994,75,63.05,179.32,20.32,6.4
Biloela,7,AU,1571615994,44,-24.4,150.51,76.48,13.13
Pitimbu,0,BR,1571615994,83,-7.47,-34.81,77.0,6.93
Hazorasp,0,UZ,1571616005,69,41.32,61.08,39.2,6.55
Dingle,97,PH,1571616005,83,11.0,122.67,80.75,6.4
Hami,0,CN,1571616006,29,42.84,93.51,42.03,1.88
San Policarpo,19,PH,1571616006,75,12.18,125.51,81.93,2.17
Rock Sound,100,BS,1571616007,80,24.9,-76.2,82.49,10.78
Lata,33,IN,1571616007,65,30.78,78.62,23.69,2.1
Carutapera,99,BR,1571616009,83,-1.2,-46.02,78.68,5.37
Bilma,83,NE,1571616010,22,18.69,12.92,87.41,11.07
Kurchum,83,KZ,1571616010,68,48.57,83.65,27.65,15.01
Jieshi,0,CN,1571616010,79,22.82,115.83,69.21,2.01
Rockhampton,40,AU,1571616010,57,-23.38,150.51,77.0,12.75
Lakes Entrance,41,AU,1571616010,57,-37.88,147.99,64.99,1.01
Kloulklubed,40,PW,1571616011,94,7.04,134.26,78.8,1.52
Kawalu,59,ID,1571616011,81,-7.38,108.21,72.09,4.43
Baneh,0,IR,1571616012,54,35.99,45.88,59.0,2.24
Ancud,40,CL,1571616013,87,-41.87,-73.83,46.4,6.93
Nizhniy Tsasuchey,0,RU,1571616014,55,50.52,115.13,29.27,16.98
Dicabisagan,51,PH,1571616014,89,17.08,122.42,76.62,1.23
Hastings,25,NZ,1571616014,49,-39.64,176.84,64.06,12.95
Ures,0,MX,1571616014,33,30.73,-112.95,84.0,5.99
Nanortalik,0,GL,1571616015,76,60.14,-45.24,39.38,7.02
Kruisfontein,89,ZA,1571616015,89,-34.0,24.73,55.92,7.16
Codrington,11,AU,1571616016,40,-28.95,153.24,73.0,11.41
Kavaratti,100,IN,1571616017,77,10.57,72.64,82.08,9.57
Whitehorse,75,CA,1571616017,51,60.72,-135.06,37.4,1.03
Tiksi,11,RU,1571616017,92,71.64,128.87,1.11,6.04
Agropoli,0,IT,1571616017,63,40.35,15.0,68.0,1.99
Komsomolskiy,32,RU,1571616017,89,67.55,63.78,14.02,6.71
Kautokeino,96,NO,1571616018,85,69.01,23.04,14.99,8.59
Serenje,0,ZM,1571616018,38,-13.23,30.22,65.77,3.87
Simbahan,48,PH,1571616018,69,6.3,120.58,83.95,5.12
Fort Nelson,90,CA,1571616018,93,58.81,-122.69,35.6,3.36
Srednekolymsk,100,RU,1571616018,93,67.46,153.71,15.33,2.89
Grindavik,90,IS,1571616018,93,63.84,-22.43,46.4,25.28
Korsakov,40,RU,1571616019,100,46.63,142.78,41.0,4.47
Vila,75,IT,1571616019,93,45.18,8.4,63.0,18.34
Camacha,20,PT,1571616020,55,33.08,-16.33,66.2,8.05
Mutsu,40,JP,1571616021,87,41.29,141.2,57.2,4.7
San Cristobal,75,HN,1571616022,78,14.68,-86.92,70.76,6.35
Wufeng,100,CN,1571616022,98,27.44,104.87,52.22,2.01
Curvelo,87,BR,1571616022,65,-18.76,-44.43,75.85,8.19
Constitucion,90,MX,1571616023,44,23.99,-104.67,78.8,11.41
Ponta do Sol,48,BR,1571616023,78,-20.63,-46.0,70.63,2.42
Uyuni,36,BO,1571616023,13,-20.46,-66.82,50.96,16.87
Champasak,83,LA,1571616023,81,14.89,105.88,73.47,1.7
Bonthe,82,SL,1571616023,86,7.53,-12.5,77.51,1.97
Tual,34,ID,1571616023,80,-5.67,132.75,79.38,15.32
Arlit,57,NE,1571616023,27,18.74,7.39,89.6,6.93
Sulat,51,PH,1571616024,72,11.81,125.45,81.79,2.39
Atambua,4,ID,1571616024,72,-9.11,124.89,78.55,1.14
Vao,100,EE,1571616034,94,59.1,26.19,52.07,9.78
Yinchuan,0,CN,1571616034,38,38.48,106.21,47.66,2.06
Saskylakh,99,RU,1571616034,85,71.97,114.09,6.59,10.96
Basco,1,US,1571616034,55,40.33,-91.2,60.8,5.82
Itarema,88,BR,1571616035,87,-2.92,-39.92,75.31,5.93
Campoverde,75,EC,1571616035,87,-0.91,-78.62,48.2,4.7
Salym,100,RU,1571616035,59,60.06,71.48,25.29,12.5
Kimbe,87,PG,1571616035,64,-5.56,150.15,87.21,2.01
Moussoro,100,TD,1571616035,50,13.64,16.49,84.24,6.73
Arcos de la Frontera,0,ES,1571616035,93,36.75,-5.81,57.2,3.36
Churapcha,20,RU,1571616036,96,62.0,132.43,23.33,6.26
Trenggalek,79,ID,1571616036,71,-8.05,111.71,76.93,5.77
Bocanda,73,CI,1571616036,98,7.06,-4.5,72.39,3.51
Portland,75,US,1571615506,76,43.66,-70.25,51.8,4.7
Laguna,20,BZ,1571616036,74,16.17,-88.94,87.8,3.27
Coihaique,90,CL,1571616036,81,-45.58,-72.07,46.4,8.05
Dikson,94,RU,1571616036,84,73.51,80.55,25.05,14.45
Tuktoyaktuk,20,CA,1571616037,73,69.44,-133.03,21.2,13.87
Vitim,100,RU,1571616037,95,59.44,112.57,23.51,4.59
College,75,US,1571616037,55,64.86,-147.8,39.2,3.36
Soyo,48,AO,1571616037,85,-6.13,12.37,78.91,9.37
Touros,20,BR,1571616037,78,-5.2,-35.46,77.0,10.29
Oussouye,0,SN,1571616041,88,12.49,-16.54,82.4,2.24
Hede,99,SE,1571616042,97,60.45,15.49,37.99,4.68
Kaitangata,31,NZ,1571616042,35,-46.28,169.85,54.0,17.0
Copiapo,0,CL,1571616042,67,-27.37,-70.33,57.2,18.34
Zeya,100,RU,1571616042,97,53.74,127.27,35.55,6.93
Palmer,0,AU,1571616042,55,-34.85,139.16,73.99,11.41
Jardim,17,BR,1571616042,64,-21.48,-56.15,76.95,1.81
Esperance,90,AU,1571616043,88,-33.86,121.89,62.6,14.99
Ambovombe,0,MG,1571616043,76,-25.18,46.09,73.6,11.01
Yaan,79,NG,1571616043,93,7.38,8.57,71.93,3.58
Daitari,24,IN,1571616043,84,21.11,85.83,72.48,1.48
Belyy,87,RU,1571616043,96,55.83,32.94,51.8,6.42
Aksarka,97,RU,1571616043,79,66.56,67.8,24.73,4.52
Eureka,90,US,1571616043,48,40.8,-124.16,62.6,3.36
Port Hedland,25,AU,1571616044,31,-20.31,118.58,89.6,11.41
Boditi,55,ET,1571616044,69,6.95,37.86,63.18,3.85
Riverton,90,US,1571616044,41,43.02,-108.38,42.8,9.17
Herat,0,AF,1571616044,29,34.35,62.22,50.02,8.12
Sioux Lookout,40,CA,1571616044,62,50.1,-91.92,51.8,3.36
Rognan,75,NO,1571616044,55,67.1,15.4,35.6,10.29
Assiniboia,0,CA,1571616045,50,49.63,-105.99,42.95,4.52
Mehamn,81,NO,1571616045,71,71.03,27.85,29.59,19.28
Pisco,0,PE,1571616045,30,-13.71,-76.2,71.6,19.46
Cap-aux-Meules,20,CA,1571616045,81,47.38,-61.86,44.6,12.75
Shiroishi,75,JP,1571616045,76,38.0,140.58,55.4,3.36
Manaus,75,BR,1571616045,83,-3.13,-59.98,77.0,3.36
Along,100,IN,1571616046,94,28.17,94.8,51.86,2.37
Livingstonia,7,MW,1571616046,79,-10.61,34.11,60.48,3.56
Kenai,90,US,1571616056,75,60.55,-151.26,43.0,12.75
Vila Velha,0,BR,1571616056,69,-3.71,-38.6,80.6,6.93
Winnemucca,90,US,1571616056,24,40.97,-117.74,55.4,10.29
Kibakwe,16,TZ,1571616056,77,-6.71,36.37,68.78,7.49
Henties Bay,0,NA,1571616057,89,-22.12,14.28,60.01,13.51
Nelson Bay,40,AU,1571616057,46,-32.72,152.14,72.0,5.82
Broken Hill,0,AU,1571616057,32,-31.97,141.45,66.2,16.11
Makakilo City,90,US,1571616057,74,21.35,-158.09,86.0,9.17
Gamagori,75,JP,1571616057,72,34.83,137.23,72.0,4.7
Le Port,98,FR,1571616058,91,42.87,1.37,54.0,0.58
Sola,35,TZ,1571616058,73,-3.17,33.8,71.28,2.3
Potrerillos,20,HN,1571616058,62,15.23,-87.96,89.6,13.87
Bintulu,75,MY,1571616058,100,3.17,113.03,77.0,5.82
La Ronge,90,CA,1571616058,80,55.1,-105.3,35.6,9.17
Mahebourg,75,MU,1571616058,94,-20.41,57.7,71.6,6.93
Mezen,0,RU,1571616059,91,65.85,44.24,26.82,5.99
Lompoc,1,US,1571616059,18,34.64,-120.46,82.4,13.87
Lac-Megantic,75,CA,1571616059,66,45.58,-70.88,48.2,3.71
Ende,4,ID,1571616059,81,-8.84,121.65,78.86,3.58
Cidreira,100,BR,1571616059,74,-30.17,-50.22,60.17,8.12
Kushiro,20,JP,1571616059,76,43.11,144.15,50.0,1.12
Sao Joao da Barra,88,BR,1571616059,73,-21.64,-41.05,67.66,6.64
Sistranda,75,NO,1571616060,93,63.73,8.83,43.0,4.7
Oranjemund,0,ZA,1571616060,95,-28.55,16.43,58.35,9.78
Santa Cruz Cabralia,75,BR,1571616060,74,-16.28,-39.02,78.8,5.82
Ayan,88,IR,1571616060,87,38.23,44.7,41.74,4.16
Manjacaze,6,MZ,1571616060,61,-24.71,33.88,76.26,10.74
Kahului,20,US,1571616061,46,20.89,-156.47,91.4,12.75
Balkhash,0,KZ,1571616061,50,46.84,74.98,25.7,18.3
Stettler,0,CA,1571616061,39,52.32,-112.71,45.0,1.01
Vestmannaeyjar,100,IS,1571616061,91,63.44,-20.27,48.92,36.55
Bongor,100,TD,1571616061,89,10.28,15.37,74.55,5.73
Mali,98,CN,1571616062,92,27.53,102.2,53.19,2.73
Ashcroft,20,AU,1571616062,46,-33.91,150.9,73.0,9.17
Mount Isa,0,AU,1571616062,10,-20.73,139.49,84.2,14.99
Bar Harbor,90,US,1571616062,76,44.39,-68.2,50.0,2.91
Burnie,49,AU,1571616062,47,-41.05,145.91,66.0,5.01
Port Lincoln,95,AU,1571616062,74,-34.72,135.86,59.87,7.9
Vertou,0,FR,1571616063,93,47.17,-1.47,51.01,3.36
Adre,32,TD,1571616063,66,13.47,22.2,75.56,5.21
Fukue,75,JP,1571616063,72,35.03,136.69,68.0,4.7
Talnakh,75,RU,1571616063,92,69.49,88.39,19.4,22.37
Greymouth,68,NZ,1571616063,66,-42.45,171.21,53.73,24.54
Bani Walid,0,LY,1571616063,72,31.76,14.0,63.92,10.65
Campo Verde,40,PE,1571616063,331,-8.47,-74.81,35.6,4.7
Parral,75,CL,1571616064,62,-36.14,-71.82,57.2,10.29
Shediac,40,CA,1571616064,65,46.22,-64.55,46.4,6.93
Horta,20,BR,1571616064,74,-10.93,-37.66,80.6,11.41
Namatanai,100,PG,1571616064,71,-3.66,152.44,82.19,8.39
Danielskuil,0,ZA,1571616065,19,-28.19,23.54,61.58,9.55
Tautira,75,PF,1571616075,66,-17.73,-149.15,86.0,13.87
Sicuani,82,PE,1571616075,51,-14.27,-71.23,47.63,4.9
Saint-Andre-Avellin,40,CA,1571616075,71,45.72,-75.07,51.8,5.82
Athabasca,96,CA,1571616075,72,54.72,-113.29,35.48,0.18
Lamin,20,GM,1571616075,88,13.35,-16.43,80.6,11.41
Sayyan,30,YE,1571616075,32,15.17,44.32,66.72,4.43
Shimoda,75,JP,1571616076,77,34.7,138.93,73.0,23.04
Blagoyevo,100,RU,1571616076,89,63.37,47.92,33.91,4.29
Maputo,20,MZ,1571616076,79,-25.97,32.57,78.01,7.0
Rio Grande,100,BR,1571616076,86,-32.03,-52.1,55.56,1.7
Tabas,92,IR,1571616076,19,33.6,56.92,68.0,4.7
San Patricio,100,PY,1571616077,94,-26.98,-56.83,60.42,6.78
Hirara,75,JP,1571616077,78,24.8,125.28,77.0,8.05
Berlevag,100,NO,1571616077,73,70.86,29.09,32.36,26.66
Richards Bay,99,ZA,1571616077,80,-28.77,32.06,71.53,22.75
Saint-Georges,82,CA,1571616077,61,46.12,-70.67,45.0,5.01
Hervey Bay,40,AU,1571616077,50,-25.3,152.85,80.01,20.8
Hofn,100,IS,1571616078,99,64.25,-15.21,32.99,4.97
Geraldton,20,CA,1571616078,81,49.72,-86.95,46.4,3.36
Alfenas,10,BR,1571616078,83,-21.43,-45.95,68.43,4.68
Deputatskiy,96,RU,1571616078,96,69.3,139.9,6.03,2.13
Goes,100,NL,1571616078,93,51.5,3.89,54.0,6.93
Sault Sainte Marie,1,CA,1571616079,93,46.49,-84.36,48.2,4.45
Kankakee,1,US,1571616079,81,41.12,-87.86,57.0,5.82
Rijeka,75,HR,1571616079,93,45.33,14.44,69.01,4.7
Vysokogornyy,49,RU,1571616079,69,50.1,139.13,41.52,3.15
Olinda,75,AU,1571616079,71,-37.84,145.39,59.0,11.41
Manzanillo,75,MX,1571616079,88,19.05,-104.32,80.6,9.17
Ewo,4,CG,1571616080,88,-0.88,14.81,71.22,7.7
Hamilton,20,CA,1571616080,87,43.26,-79.87,55.4,5.82
San Juan,10,AR,1571616080,34,-31.54,-68.53,54.93,5.86
Bireun,99,ID,1571616080,91,5.2,96.7,69.14,2.48
La Paz,5,MX,1571616080,23,24.15,-110.32,87.8,3.36
Klaksvik,100,FO,1571616080,87,62.23,-6.59,44.6,12.75
Suntar,100,RU,1571616080,91,62.16,117.65,25.29,10.42
Three Hills,40,CA,1571616081,24,51.7,-113.27,46.4,3.36
Requena,0,ES,1571616081,67,39.49,-1.1,57.99,4.7
Mitsamiouli,0,KM,1571616081,74,-11.38,43.28,78.66,8.12
Hualmay,36,PE,1571616081,88,-11.1,-77.61,61.86,16.28
Sarangani,53,PH,1571616081,75,5.4,125.46,82.4,8.21
Sur,0,OM,1571616081,46,22.57,59.53,75.11,1.23
Kodinsk,84,RU,1571616081,76,58.6,99.18,19.58,3.76
San Vicente,20,EC,1571616082,78,-0.59,-80.41,75.2,11.41
Shelbyville,75,US,1571616082,87,39.41,-88.79,62.01,5.77
Varzea Grande,20,BR,1571616082,72,-29.42,-50.86,63.0,11.41
Tazmalt,20,DZ,1571616082,73,36.39,4.4,69.8,3.36
Biak,89,ID,1571616082,82,-0.91,122.88,69.33,5.44
